YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM,CONF_A,K TEMPO_A,K TEMPO RANK_A,KADJ T_A,KADJ T RANK_A,K OFF_A,KO RANK_A,KADJ O_A,KADJ O RANK_A,K DEF_A,KD RANK_A,KADJ D_A,KADJ D RANK_A,KADJ EM_A,KADJ EM RANK_A,BADJ EM_A,BADJ O_A,BADJ D_A,BARTHAG_A,GAMES_A,W_A,L_A,WIN%_A,EFG%_A,EFG%D_A,FTR_A,FTRD_A,TOV%_A,TOV%D_A,OREB%_A,DREB%_A,OP OREB%_A,OP DREB%_A,RAW T_A,2PT%_A,2PT%D_A,3PT%_A,3PT%D_A,BLK%_A,BLKED%_A,AST%_A,OP AST%_A,2PTR_A,3PTR_A,2PTRD_A,3PTRD_A,BADJ T_A,AVG HGT_A,EFF HGT_A,EXP_A,TALENT_A,FT%_A,OP FT%_A,PPPO_A,PPPD_A,ELITE SOS_A,WAB_A,BADJ EM RANK_A,BADJ O RANK_A,BADJ D RANK_A,BARTHAG RANK_A,EFG% RANK_A,EFGD% RANK_A,FTR RANK_A,FTRD RANK_A,TOV% RANK_A,TOV%D RANK_A,OREB% RANK_A,DREB% RANK_A,OP OREB% RANK_A,OP DREB% RANK_A,RAW T RANK_A,2PT% RANK_A,2PT%D RANK_A,3PT% RANK_A,3PT%D RANK_A,BLK% RANK_A,BLKED% RANK_A,AST% RANK_A,OP AST% RANK_A,2PTR RANK_A,3PTR RANK_A,2PTRD RANK_A,3PTRD RANK_A,BADJT RANK_A,AVG HGT RANK_A,EFF HGT RANK_A,EXP RANK_A,TALENT RANK_A,FT% RANK_A,OP FT% RANK_A,PPPO RANK_A,PPPD RANK_A,ELITE SOS RANK_A,CONF REG BADJ EM_A,CONF REG BADJ O_A,CONF REG BADJ D_A,CONF REG BARTHAG_A,CONF REG G_A,CONF REG W_A,CONF REG L_A,CONF REG WIN%_A,CONF REG EFG%_A,CONF REG EFGD%_A,CONF REG FTR_A,CONF REG FTRD_A,CONF REG TOV%_A,CONF REG TOV%D_A,CONF REG OREB%_A,CONF REG DREB%_A,CONF REG OP OREB%_A,CONF REG OP DREB%_A,CONF REG RAW T_A,CONF REG 2PT%_A,CONF REG 2PT%D_A,CONF REG 3PT%_A,CONF REG 3PT%D_A,CONF REG BLK%_A,CONF REG BLKED%_A,CONF REG AST%_A,CONF REG OP AST %_A,CONF REG 2PTR_A,CONF REG 3PTR_A,CONF REG 2PTRD_A,CONF REG 3PTRD_A,CONF REG BADJ T_A,CONF REG AVG HGT_A,CONF REG EFF HGT_A,CONF REG EXP_A,CONF REG TALENT_A,CONF REG FT%_A,CONF REG OP FT%_A,CONF REG PPPO_A,CONF REG PPPD_A,CONF REG ELITE SOS_A,CONF REG WAB_A,CONF_B,K TEMPO_B,K TEMPO RANK_B,KADJ T_B,KADJ T RANK_B,K OFF_B,KO RANK_B,KADJ O_B,KADJ O RANK_B,K DEF_B,KD RANK_B,KADJ D_B,KADJ D RANK_B,KADJ EM_B,KADJ EM RANK_B,BADJ EM_B,BADJ O_B,BADJ D_B,BARTHAG_B,GAMES_B,W_B,L_B,WIN%_B,EFG%_B,EFG%D_B,FTR_B,FTRD_B,TOV%_B,TOV%D_B,OREB%_B,DREB%_B,OP OREB%_B,OP DREB%_B,RAW T_B,2PT%_B,2PT%D_B,3PT%_B,3PT%D_B,BLK%_B,BLKED%_B,AST%_B,OP AST%_B,2PTR_B,3PTR_B,2PTRD_B,3PTRD_B,BADJ T_B,AVG HGT_B,EFF HGT_B,EXP_B,TALENT_B,FT%_B,OP FT%_B,PPPO_B,PPPD_B,ELITE SOS_B,WAB_B,BADJ EM RANK_B,BADJ O RANK_B,BADJ D RANK_B,BARTHAG RANK_B,EFG% RANK_B,EFGD% RANK_B,FTR RANK_B,FTRD RANK_B,TOV% RANK_B,TOV%D RANK_B,OREB% RANK_B,DREB% RANK_B,OP OREB% RANK_B,OP DREB% RANK_B,RAW T RANK_B,2PT% RANK_B,2PT%D RANK_B,3PT% RANK_B,3PT%D RANK_B,BLK% RANK_B,BLKED% RANK_B,AST% RANK_B,OP AST% RANK_B,2PTR RANK_B,3PTR RANK_B,2PTRD RANK_B,3PTRD RANK_B,BADJT RANK_B,AVG HGT RANK_B,EFF HGT RANK_B,EXP RANK_B,TALENT RANK_B,FT% RANK_B,OP FT% RANK_B,PPPO RANK_B,PPPD RANK_B,ELITE SOS RANK_B,CONF REG BADJ EM_B,CONF REG BADJ O_B,CONF REG BADJ D_B,CONF REG BARTHAG_B,CONF REG G_B,CONF REG W_B,CONF REG L_B,CONF REG WIN%_B,CONF REG EFG%_B,CONF REG EFGD%_B,CONF REG FTR_B,CONF REG FTRD_B,CONF REG TOV%_B,CONF REG TOV%D_B,CONF REG OREB%_B,CONF REG DREB%_B,CONF REG OP OREB%_B,CONF REG OP DREB%_B,CONF REG RAW T_B,CONF REG 2PT%_B,CONF REG 2PT%D_B,CONF REG 3PT%_B,CONF REG 3PT%D_B,CONF REG BLK%_B,CONF REG BLKED%_B,CONF REG AST%_B,CONF REG OP AST %_B,CONF REG 2PTR_B,CONF REG 3PTR_B,CONF REG 2PTRD_B,CONF REG 3PTRD_B,CONF REG BADJ T_B,CONF REG AVG HGT_B,CONF REG EFF HGT_B,CONF REG EXP_B,CONF REG TALENT_B,CONF REG FT%_B,CONF REG OP FT%_B,CONF REG PPPO_B,CONF REG PPPD_B,CONF REG ELITE SOS_B,CONF REG WAB_B
2025,32,Auburn,1,,,Louisville,8,,,,,68.8568,135,67.6684,153,121.014,4,128.505,1,100.799,60,93.4663,12,35.0385,4,35.396,129.049,93.653,0.976,33,28,5,84.84848,55.7,46,33.5,39.2,13.4,17.4,34.3,69.7,30.3,65.7,68.9,56.1,47.2,36.8,29.2,16.5,7.5,55.5,40.2,59.4,40.6,65.2,34.8,67.776,78.431,81.057,2.573,34.433,74,73.5,1.213,1.007,45.564,12.5,3,1,12,3,26,11,168,318,7,166,53,214,214,53,136,31,43,42,5,4,36,91,6,227,139,315,51,143,22,66,20,90,116,264,3,59,2,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,,69.0231,121,68.826,90,113.399,44,118.177,27,99.6724,37,95.5301,21,22.6465,23,23.683,118.342,94.659,0.929,34,27,7,79.41176,53.4,49.2,34.5,26.8,16.5,18.6,32.2,72.8,27.2,67.8,69,57,48.3,33,33.7,8.1,9.7,51.9,46.6,51.9,48.1,60.3,39.7,68.807,78.008,81.168,2.555,20.225,74.4,71.4,1.135,0.995,29.98,5.5,19,25,16,19,72,100,137,37,136,93,111,59,59,111,125,19,79,218,177,252,219,174,53,347,19,157,214,92,65,58,23,129,104,143,43,35,59,10.9,112.6,101.7,0.763,587,324,263,55.19591141,51.7,50.3,32.7,31.2,16.5,17,30.6,70.9,29.1,69.4,67.3,51.9,50.2,34.2,33.7,9.8,8.8,51.1,50.5,61.6,38.4,61.2,38.8,67.5,77.817,81.113,1.869,53.585,74.1,73.7,1.093,1.053,27.675,-3.6
2025,32,Michigan,5,,,Texas A&M,4,,,,,70.7172,49,69.6043,61,110.475,84,116.787,37,100.897,63,94.9671,16,21.8201,26,20.705,115.121,94.416,0.907,34,25,9,73.52941,54.5,46.3,35,28.5,19.8,16,33.2,70.2,29.8,66.8,70.6,57.7,45.9,33.4,31.3,9.3,7.5,58.5,44.9,57.5,42.5,61.1,38.9,69.422,79.111,83.403,2.239,57.267,72.8,73,1.101,1.002,37.294,6.2,27,54,15,26,51,18,123,66,329,268,82,184,184,82,52,13,15,198,49,173,36,46,28,274,91,183,188,65,5,2,116,38,162,239,94,47,22,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7,,67.4829,202,66.2185,237,109.403,110,116.281,43,99.5409,34,92.2075,8,24.0735,17,22.555,115.676,93.121,0.924,32,22,10,68.75,47.5,48.2,41.7,35.3,18.2,19.7,42,72.2,27.8,58,67.5,48,46.5,31.1,33.4,13.9,14.8,47.7,64.8,62.4,37.6,53,47,66.083,77.361,79.763,2.764,69.423,69.5,76.8,1.093,0.999,39.956,5.2,24,49,11,22,318,58,17,239,253,57,1,76,76,1,205,293,27,318,160,21,364,288,363,160,209,13,353,240,143,226,3,13,274,353,110,41,10,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8
2025,32,North Carolina,11,,,Iowa State,3,,,,,70.7715,46,70.5124,34,113.488,43,118.913,22,105.192,161,99.3766,54,19.5367,33,19.02,118.831,99.811,0.881,35,22,13,62.85714,54.2,49.6,34.8,30,15.1,15.2,29.2,72.9,27.1,70.8,70.8,54.9,49.2,35.3,33.5,9.7,10.5,51,47.5,63,37,62.1,37.9,70.562,76.417,79.98,1.623,87.298,73.7,74.8,1.134,1.052,35.154,1.4,35,21,65,36,53,118,126,106,43,310,205,54,54,205,47,49,113,96,167,151,289,206,67,138,229,223,148,34,293,202,307,2,124,308,44,163,38,10.9,112.6,101.7,0.763,587,324,263,55.19591141,51.7,50.3,32.7,31.2,16.5,17,30.6,70.9,29.1,69.4,67.3,51.9,50.2,34.2,33.7,9.8,8.8,51.1,50.5,61.6,38.4,61.2,38.8,67.5,77.817,81.113,1.869,53.585,74.1,73.7,1.093,1.053,27.675,-3.6,,69.4841,95,68.6373,102,113.82,41,119.483,20,96.4765,14,92.4824,10,27.0002,10,26.529,118.876,92.347,0.948,33,24,9,72.72727,54.6,48.4,38.5,28.9,16.9,21.8,32.2,71.6,28.4,67.8,69.5,55.1,47.5,35.8,33.2,10.2,9.3,53.9,55.3,63.1,36.9,59.3,40.7,68.54,77.854,81.053,2.401,35.926,75.7,75,1.14,0.965,36.738,5.4,10,20,8,8,50,67,40,76,167,16,111,107,107,111,100,46,52,71,140,124,178,119,272,135,234,119,249,106,79,67,70,87,63,319,41,15,26,18.8,115.5,96.7,0.885,525,308,217,58.66666667,51.7,49.1,32.2,31,17,18.3,31.9,70.5,29.5,68.1,68.1,52,49,34.2,32.9,10.8,9.4,55.4,53.4,60.5,39.5,60.4,39.6,68,77.776,80.907,2.079,50.51,72.4,72.2,1.089,1.019,38.067,1.2
2025,32,Marquette,7,,,Michigan State,2,,,,,68.1294,172,67.6373,156,112.213,62,117.695,32,100.274,45,96.1073,27,21.5878,28,20.134,116.667,96.533,0.898,33,23,10,69.69697,52,49.9,26.1,30.2,13.5,21.5,30.1,69,31,69.9,68.1,54.9,51.3,32.5,31.8,10.9,8.7,49.5,60.1,53.7,46.3,60.2,39.8,67.717,77.724,80.58,2.084,62.664,72.3,72.8,1.12,0.999,34.207,3.6,31,40,31,31,116,133,342,109,8,20,177,245,245,177,176,49,200,246,69,98,122,246,344,325,40,150,218,146,97,116,165,23,179,229,63,41,46,12.9,113.1,100.2,0.801,361,204,157,56.50969529,52.2,49.7,30.3,29.2,16.8,17,30.6,71.5,28.5,69.4,67.1,52.4,49.3,34.7,33.5,10.7,9.7,56,53.1,59.2,40.8,61.4,38.6,67.5,77.931,80.875,1.97,59.681,73.1,72,1.09,1.034,29.676,-2.3,,69.2266,108,67.7809,144,112.538,58,118.056,29,96.7934,16,90.49,5,27.5664,8,24.997,116.833,91.836,0.941,33,27,6,81.81818,51.2,46.1,37.8,33.1,16.6,16.4,35.3,75.4,24.6,64.7,69.2,53.6,49.1,30.8,27.9,13.3,7.8,61.6,53.4,67.3,32.7,58.6,41.4,67.859,78.039,81.913,1.752,74.743,78.1,72.2,1.125,0.968,34.707,7.8,17,37,5,13,151,13,50,183,148,239,34,8,8,34,110,87,107,327,2,27,51,13,222,36,331,92,275,139,60,20,276,7,20,194,58,16,39,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7
2025,32,Florida,1,,,UConn,8,,,,,70.9277,43,69.5912,62,120.249,6,127.938,3,97.1962,18,92.1126,7,35.8258,2,33.693,127.699,94.006,0.971,34,30,4,88.23529,55,45.3,32.6,33,15,17,38.1,71.2,28.8,61.9,70.8,56.4,45.9,35.5,29.6,12.3,8.6,52.4,46.4,56.4,43.6,62.7,37.3,69.516,78.018,82.097,1.887,28.619,71.8,70.7,1.206,0.977,37.75,11.1,4,3,13,4,37,7,189,181,38,187,8,130,130,8,47,27,15,86,8,49,108,156,50,292,76,245,122,64,63,11,241,106,203,114,5,20,20,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,,64.5293,340,63.7849,344,118.148,11,121.965,14,104.135,127,102.633,94,19.3318,35,19.585,121.595,102.01,0.883,33,23,10,69.69697,55.5,48.3,30.6,40,17.1,15.5,35.6,72.6,27.4,64.4,64.5,57.3,46,35.4,35.1,17.9,8.9,64,44.2,57.4,42.6,65.8,34.2,63.782,78.167,80.841,1.638,87.492,79.1,73,1.182,1.039,30.085,2.2,32,16,92,35,30,62,256,333,179,297,25,67,67,25,342,18,17,90,264,2,145,3,24,275,90,330,38,340,41,83,302,1,11,239,11,121,57,12.9,113.1,100.2,0.801,361,204,157,56.50969529,52.2,49.7,30.3,29.2,16.8,17,30.6,71.5,28.5,69.4,67.1,52.4,49.3,34.7,33.5,10.7,9.7,56,53.1,59.2,40.8,61.4,38.6,67.5,77.931,80.875,1.97,59.681,73.1,72,1.09,1.034,29.676,-2.3
2025,32,Colorado St.,12,,,Maryland,4,,,,,71.2981,34,70.8385,28,111.124,74,113.302,71,101.709,75,98.1617,41,15.1407,52,13.001,111.669,98.668,0.806,34,29,5,85.29412,53.6,48.5,39.4,33.6,19.2,19.1,35.1,67.7,32.3,64.9,71.4,52,48.6,38,32.2,13.1,9.4,52,54.1,66.9,33.1,59.3,40.7,70.654,77.013,80.871,2.425,53.401,70.2,71.1,1.112,1.016,23.012,4.9,60,88,47,60,67,73,31,200,308,72,37,303,303,37,33,140,88,18,87,33,192,172,240,43,323,119,249,30,206,80,63,47,254,130,73,73,87,1.4,107.9,106.5,0.538,408,213,195,52.20588235,50.4,50.2,36.5,34.5,16.3,16.7,31.2,68.9,31.1,68.8,68,50.3,49.8,33.6,33.8,10,10,50.8,52,63.4,36.6,63,37,68,77.139,80.252,2.252,29.98,72.8,71.9,1.082,1.068,14.832,-8.8,,70.7574,47,69.8717,57,114.918,33,118.089,28,94.8324,8,91.7546,6,26.3341,13,25.794,117.835,92.041,0.945,33,25,8,75.75758,53.8,47,32.9,25.9,14.5,20.2,31,72.8,27.2,69,70.7,52.7,47.6,37.2,30.7,12,6.4,50.4,49.4,64.5,35.5,64.2,35.8,69.841,77.5,80.919,1.64,66.049,75.5,73.9,1.151,0.944,31.337,4.6,14,28,6,10,59,27,182,28,24,40,152,59,59,152,50,114,54,31,28,54,4,222,113,95,271,284,82,54,119,73,301,18,70,275,29,6,53,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7
2025,32,Missouri,6,,,Texas Tech,3,,,,,69.9508,79,68.279,121,120.367,5,125.359,5,105.067,158,100.97,73,24.3888,15,26.199,127.001,100.802,0.934,33,22,11,66.66667,56.2,50.7,46.8,35.3,15.2,20,33.7,67.8,32.2,66.3,70,56.7,51.1,37,33.4,7.5,10.5,49.5,48.3,58.5,41.5,61.8,38.2,68.112,78.276,81.594,2.197,66.184,72.5,76.2,1.203,1.052,36.393,3,13,5,75,16,18,174,2,239,47,47,69,301,301,69,80,21,188,36,160,281,289,246,89,248,120,210,156,124,34,34,135,17,169,350,6,163,29,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,,66.404,267,65.4879,281,119.883,7,125.335,6,100.015,41,97.2799,37,28.0555,7,29.31,126.01,96.7,0.955,33,25,8,75.75758,55.5,48,29.7,33.5,14.8,17.4,34.3,71.5,28.5,65.7,66.4,54.3,48.2,37.9,31.7,8.1,8,58.5,45,55.4,44.6,65.9,34.1,65.554,76.407,79.854,1.972,36.947,76.4,69.5,1.2,1.002,35.224,5.8,6,6,32,7,30,55,285,197,33,166,53,112,112,53,269,64,73,19,63,252,65,46,29,306,62,336,34,273,297,211,214,83,48,43,7,47,36,18.8,115.5,96.7,0.885,525,308,217,58.66666667,51.7,49.1,32.2,31,17,18.3,31.9,70.5,29.5,68.1,68.1,52,49,34.2,32.9,10.8,9.4,55.4,53.4,60.5,39.5,60.4,39.6,68,77.776,80.907,2.079,50.51,72.4,72.2,1.089,1.019,38.067,1.2
2025,32,Kansas,7,,,St. Johns,2,,,,,69.1559,110,68.4297,113,109.004,116,116.021,48,98.7957,27,92.761,11,23.2603,21,23.065,116.11,93.045,0.927,33,21,12,63.63636,53.1,46.2,24.3,28,16.7,15.6,30.4,72.5,27.5,69.6,69.2,53.4,46.1,35.2,30.9,13.1,9,60.9,52.8,65.7,34.3,59.3,40.7,68.297,77.963,82.013,2.526,65.96,71.1,72.7,1.09,0.991,41.748,4.1,22,43,10,21,79,16,355,54,154,287,169,69,69,169,110,90,19,102,36,33,152,19,213,68,297,119,249,115,69,14,31,19,226,223,116,31,7,18.8,115.5,96.7,0.885,525,308,217,58.66666667,51.7,49.1,32.2,31,17,18.3,31.9,70.5,29.5,68.1,68.1,52,49,34.2,32.9,10.8,9.4,55.4,53.4,60.5,39.5,60.4,39.6,68,77.776,80.907,2.079,50.51,72.4,72.2,1.089,1.019,38.067,1.2,,70.4189,55,70.1918,49,110.13,94,113.938,64,92.0927,2,87.5628,1,26.3752,12,23.469,112.558,89.089,0.936,34,30,4,88.23529,49.7,46.6,30.2,30.4,15.6,21.9,37.3,71.1,28.9,62.7,70.4,51.5,45.8,30.4,31.8,15.1,8.3,53.7,55.9,69.7,30.3,59.2,40.8,70.097,78.209,80.533,2.12,64.078,68.9,67,1.102,0.922,27.94,7.8,21,70,2,15,244,19,270,115,74,13,9,134,134,9,55,162,13,338,69,9,87,121,284,19,347,115,254,50,39,124,151,22,296,4,91,2,66,12.9,113.1,100.2,0.801,361,204,157,56.50969529,52.2,49.7,30.3,29.2,16.8,17,30.6,71.5,28.5,69.4,67.1,52.4,49.3,34.7,33.5,10.7,9.7,56,53.1,59.2,40.8,61.4,38.6,67.5,77.931,80.875,1.97,59.681,73.1,72,1.09,1.034,29.676,-2.3
2025,32,Duke,1,,,Baylor,9,,,,,66.5794,256,65.803,266,124.282,1,127.999,2,93.0646,3,89.847,4,38.1518,1,37.181,128.453,91.272,0.981,34,31,3,91.17647,57.4,44.5,32.1,25.4,14.4,17.7,35.2,73.5,26.5,64.8,66.6,58,43.4,37.7,30.9,10.6,9.7,58.1,51.4,54.6,45.4,62.1,37.9,65.706,79.763,82.221,0.968,80.734,78.4,71.5,1.242,0.93,30.63,9.6,1,2,4,2,5,3,204,23,22,138,36,40,40,36,260,9,3,22,36,109,219,50,171,314,52,223,148,267,1,8,361,3,18,149,1,3,55,10.9,112.6,101.7,0.763,587,324,263,55.19591141,51.7,50.3,32.7,31.2,16.5,17,30.6,70.9,29.1,69.4,67.3,51.9,50.2,34.2,33.7,9.8,8.8,51.1,50.5,61.6,38.4,61.2,38.8,67.5,77.817,81.113,1.869,53.585,74.1,73.7,1.093,1.053,27.675,-3.6,,65.4265,310,64.5974,319,113.197,46,120.886,16,104.882,152,99.7268,58,21.1589,29,21.224,120.5,99.276,0.903,32,18,14,56.25,51.5,51.2,31,33.5,16.1,18.8,35.6,68.8,31.2,64.4,65.4,51.2,49.8,34.7,35.4,8.3,11,53.5,59.9,59.8,40.2,59.2,40.8,64.62,76.961,79.571,1.871,56.146,74.6,69.9,1.132,1.044,42.981,2,26,17,58,27,139,202,244,197,107,85,25,256,256,25,315,169,132,131,279,238,311,125,341,219,150,115,254,314,211,256,245,41,97,61,46,138,5,18.8,115.5,96.7,0.885,525,308,217,58.66666667,51.7,49.1,32.2,31,17,18.3,31.9,70.5,29.5,68.1,68.1,52,49,34.2,32.9,10.8,9.4,55.4,53.4,60.5,39.5,60.4,39.6,68,77.776,80.907,2.079,50.51,72.4,72.2,1.089,1.019,38.067,1.2
2025,32,Oregon,5,,,Arizona,4,,,,,68.6042,144,67.673,152,110.017,97,116.643,41,102.377,84,96.4943,29,20.149,31,17.877,115.132,97.255,0.874,33,24,9,72.72727,52.2,49.1,33.4,27.7,16.2,17.6,30.6,70.8,29.2,69.4,68.6,53,50,34,31.7,10.1,8.8,54.4,50.3,61.4,38.6,62.6,37.4,67.652,77.427,81.554,2.452,60.009,76.3,72.1,1.099,1.023,35.999,5.3,38,53,37,39,109,95,170,50,119,151,162,156,156,162,148,109,144,174,63,132,136,108,140,189,178,242,124,151,130,36,52,27,49,184,97,86,30,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7,,70.2006,64,69.9324,54,115.408,27,122.567,13,102.537,87,96.8244,32,25.7423,14,27.472,123.94,96.468,0.947,34,22,12,64.70588,52.9,48.6,36.6,29.2,16.2,16.6,35.9,71.5,28.5,64.1,70.2,55.1,47.2,32.4,33.6,12,6.7,56.7,53.2,65.4,34.6,58.1,41.9,69.862,77.892,80.498,1.92,66.268,78.4,71.4,1.156,1.025,44.259,5.4,8,10,30,9,83,79,73,81,119,221,19,112,112,19,66,46,43,250,171,54,10,71,219,74,295,81,285,52,74,129,225,16,18,143,25,87,3,18.8,115.5,96.7,0.885,525,308,217,58.66666667,51.7,49.1,32.2,31,17,18.3,31.9,70.5,29.5,68.1,68.1,52,49,34.2,32.9,10.8,9.4,55.4,53.4,60.5,39.5,60.4,39.6,68,77.776,80.907,2.079,50.51,72.4,72.2,1.089,1.019,38.067,1.2
