YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM,CONF_A,K TEMPO_A,K TEMPO RANK_A,KADJ T_A,KADJ T RANK_A,K OFF_A,KO RANK_A,KADJ O_A,KADJ O RANK_A,K DEF_A,KD RANK_A,KADJ D_A,KADJ D RANK_A,KADJ EM_A,KADJ EM RANK_A,BADJ EM_A,BADJ O_A,BADJ D_A,BARTHAG_A,GAMES_A,W_A,L_A,WIN%_A,EFG%_A,EFG%D_A,FTR_A,FTRD_A,TOV%_A,TOV%D_A,OREB%_A,DREB%_A,OP OREB%_A,OP DREB%_A,RAW T_A,2PT%_A,2PT%D_A,3PT%_A,3PT%D_A,BLK%_A,BLKED%_A,AST%_A,OP AST%_A,2PTR_A,3PTR_A,2PTRD_A,3PTRD_A,BADJ T_A,AVG HGT_A,EFF HGT_A,EXP_A,TALENT_A,FT%_A,OP FT%_A,PPPO_A,PPPD_A,ELITE SOS_A,WAB_A,BADJ EM RANK_A,BADJ O RANK_A,BADJ D RANK_A,BARTHAG RANK_A,EFG% RANK_A,EFGD% RANK_A,FTR RANK_A,FTRD RANK_A,TOV% RANK_A,TOV%D RANK_A,OREB% RANK_A,DREB% RANK_A,OP OREB% RANK_A,OP DREB% RANK_A,RAW T RANK_A,2PT% RANK_A,2PT%D RANK_A,3PT% RANK_A,3PT%D RANK_A,BLK% RANK_A,BLKED% RANK_A,AST% RANK_A,OP AST% RANK_A,2PTR RANK_A,3PTR RANK_A,2PTRD RANK_A,3PTRD RANK_A,BADJT RANK_A,AVG HGT RANK_A,EFF HGT RANK_A,EXP RANK_A,TALENT RANK_A,FT% RANK_A,OP FT% RANK_A,PPPO RANK_A,PPPD RANK_A,ELITE SOS RANK_A,CONF REG BADJ EM_A,CONF REG BADJ O_A,CONF REG BADJ D_A,CONF REG BARTHAG_A,CONF REG G_A,CONF REG W_A,CONF REG L_A,CONF REG WIN%_A,CONF REG EFG%_A,CONF REG EFGD%_A,CONF REG FTR_A,CONF REG FTRD_A,CONF REG TOV%_A,CONF REG TOV%D_A,CONF REG OREB%_A,CONF REG DREB%_A,CONF REG OP OREB%_A,CONF REG OP DREB%_A,CONF REG RAW T_A,CONF REG 2PT%_A,CONF REG 2PT%D_A,CONF REG 3PT%_A,CONF REG 3PT%D_A,CONF REG BLK%_A,CONF REG BLKED%_A,CONF REG AST%_A,CONF REG OP AST %_A,CONF REG 2PTR_A,CONF REG 3PTR_A,CONF REG 2PTRD_A,CONF REG 3PTRD_A,CONF REG BADJ T_A,CONF REG AVG HGT_A,CONF REG EFF HGT_A,CONF REG EXP_A,CONF REG TALENT_A,CONF REG FT%_A,CONF REG OP FT%_A,CONF REG PPPO_A,CONF REG PPPD_A,CONF REG ELITE SOS_A,CONF REG WAB_A,CONF_B,K TEMPO_B,K TEMPO RANK_B,KADJ T_B,KADJ T RANK_B,K OFF_B,KO RANK_B,KADJ O_B,KADJ O RANK_B,K DEF_B,KD RANK_B,KADJ D_B,KADJ D RANK_B,KADJ EM_B,KADJ EM RANK_B,BADJ EM_B,BADJ O_B,BADJ D_B,BARTHAG_B,GAMES_B,W_B,L_B,WIN%_B,EFG%_B,EFG%D_B,FTR_B,FTRD_B,TOV%_B,TOV%D_B,OREB%_B,DREB%_B,OP OREB%_B,OP DREB%_B,RAW T_B,2PT%_B,2PT%D_B,3PT%_B,3PT%D_B,BLK%_B,BLKED%_B,AST%_B,OP AST%_B,2PTR_B,3PTR_B,2PTRD_B,3PTRD_B,BADJ T_B,AVG HGT_B,EFF HGT_B,EXP_B,TALENT_B,FT%_B,OP FT%_B,PPPO_B,PPPD_B,ELITE SOS_B,WAB_B,BADJ EM RANK_B,BADJ O RANK_B,BADJ D RANK_B,BARTHAG RANK_B,EFG% RANK_B,EFGD% RANK_B,FTR RANK_B,FTRD RANK_B,TOV% RANK_B,TOV%D RANK_B,OREB% RANK_B,DREB% RANK_B,OP OREB% RANK_B,OP DREB% RANK_B,RAW T RANK_B,2PT% RANK_B,2PT%D RANK_B,3PT% RANK_B,3PT%D RANK_B,BLK% RANK_B,BLKED% RANK_B,AST% RANK_B,OP AST% RANK_B,2PTR RANK_B,3PTR RANK_B,2PTRD RANK_B,3PTRD RANK_B,BADJT RANK_B,AVG HGT RANK_B,EFF HGT RANK_B,EXP RANK_B,TALENT RANK_B,FT% RANK_B,OP FT% RANK_B,PPPO RANK_B,PPPD RANK_B,ELITE SOS RANK_B,CONF REG BADJ EM_B,CONF REG BADJ O_B,CONF REG BADJ D_B,CONF REG BARTHAG_B,CONF REG G_B,CONF REG W_B,CONF REG L_B,CONF REG WIN%_B,CONF REG EFG%_B,CONF REG EFGD%_B,CONF REG FTR_B,CONF REG FTRD_B,CONF REG TOV%_B,CONF REG TOV%D_B,CONF REG OREB%_B,CONF REG DREB%_B,CONF REG OP OREB%_B,CONF REG OP DREB%_B,CONF REG RAW T_B,CONF REG 2PT%_B,CONF REG 2PT%D_B,CONF REG 3PT%_B,CONF REG 3PT%D_B,CONF REG BLK%_B,CONF REG BLKED%_B,CONF REG AST%_B,CONF REG OP AST %_B,CONF REG 2PTR_B,CONF REG 3PTR_B,CONF REG 2PTRD_B,CONF REG 3PTRD_B,CONF REG BADJ T_B,CONF REG AVG HGT_B,CONF REG EFF HGT_B,CONF REG EXP_B,CONF REG TALENT_B,CONF REG FT%_B,CONF REG OP FT%_B,CONF REG PPPO_B,CONF REG PPPD_B,CONF REG ELITE SOS_B,CONF REG WAB_B,
2025,64,Auburn,1,,,Alabama St.,16,,,,,68.8568,135,67.6684,153,121.014,4,128.505,1,100.799,60,93.4663,12,35.0385,4,35.396,129.049,93.653,0.976,33,28,5,84.84848,55.7,46,33.5,39.2,13.4,17.4,34.3,69.7,30.3,65.7,68.9,56.1,47.2,36.8,29.2,16.5,7.5,55.5,40.2,59.4,40.6,65.2,34.8,67.776,78.431,81.057,2.573,34.433,74,73.5,1.213,1.007,45.564,12.5,3,1,12,3,26,11,168,318,7,166,53,214,214,53,136,31,43,42,5,4,36,91,6,227,139,315,51,143,22,66,20,90,116,264,3,59,2,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,,69.0571,120,67.824,142,103.998,228,101.454,271,104.201,129,110.689,256,-9.235,273,-9.091,100.521,109.612,0.27,33,18,15,54.54545,47.1,50.3,29.9,38.7,13.2,18.6,28.3,68.9,31.1,71.7,69.1,45.4,50.4,32.9,33.4,8.4,9.1,45.4,50.3,57.1,42.9,60.5,39.5,67.626,76.5,79.666,2.346,4.049,69.8,69.9,1.041,1.046,11.608,-10.2,274,282,246,274,327,150,274,308,5,93,230,249,249,230,120,343,158,224,160,231,161,321,140,281,85,162,206,154,285,239,83,251,270,61,227,147,253,-15.5,96.5,112,0.153,367,128,239,34.8773842,47.3,52,34,37.2,19.3,18.2,29,67.1,32.9,71,69.4,47,52,31.9,34.7,8.9,10,49.1,54.9,63.8,36.2,60.9,39.1,68.8,76.425,79.839,2.172,5.343,69,70.4,0.973,1.084,14.579,-14.4,
2025,64,Louisville,8,,,Creighton,9,,,,,69.0231,121,68.826,90,113.399,44,118.177,27,99.6724,37,95.5301,21,22.6465,23,23.683,118.342,94.659,0.929,34,27,7,79.41176,53.4,49.2,34.5,26.8,16.5,18.6,32.2,72.8,27.2,67.8,69,57,48.3,33,33.7,8.1,9.7,51.9,46.6,51.9,48.1,60.3,39.7,68.807,78.008,81.168,2.555,20.225,74.4,71.4,1.135,0.995,29.98,5.5,19,25,16,19,72,100,137,37,136,93,111,59,59,111,125,19,79,218,177,252,219,174,53,347,19,157,214,92,65,58,23,129,104,143,43,35,59,10.9,112.6,101.7,0.763,587,324,263,55.19591141,51.7,50.3,32.7,31.2,16.5,17,30.6,70.9,29.1,69.4,67.3,51.9,50.2,34.2,33.7,9.8,8.8,51.1,50.5,61.6,38.4,61.2,38.8,67.5,77.817,81.113,1.869,53.585,74.1,73.7,1.093,1.053,27.675,-3.6,,67.6333,192,67.1073,192,110.76,81,116.968,35,102.225,82,98.2653,43,18.7025,37,19.093,117.334,98.241,0.885,34,24,10,70.58824,55.8,47,28.5,16.9,18.1,11.7,26.9,72.8,27.2,73.1,67.6,60.5,45.8,33.9,32.7,10.7,10.9,63.4,43.3,51,49,64.8,35.2,67.135,78.968,83.115,1.954,59.745,73.3,71.4,1.105,1.021,31.577,3.1,34,32,43,33,24,27,313,1,248,361,269,59,59,269,198,2,13,177,114,105,308,6,19,355,11,305,63,187,7,3,219,30,140,143,84,81,52,12.9,113.1,100.2,0.801,361,204,157,56.50969529,52.2,49.7,30.3,29.2,16.8,17,30.6,71.5,28.5,69.4,67.1,52.4,49.3,34.7,33.5,10.7,9.7,56,53.1,59.2,40.8,61.4,38.6,67.5,77.931,80.875,1.97,59.681,73.1,72,1.09,1.034,29.676,-2.3,
2025,64,Michigan,5,,,UC San Diego,12,,,,,70.7172,49,69.6043,61,110.475,84,116.787,37,100.897,63,94.9671,16,21.8201,26,20.705,115.121,94.416,0.907,34,25,9,73.52941,54.5,46.3,35,28.5,19.8,16,33.2,70.2,29.8,66.8,70.6,57.7,45.9,33.4,31.3,9.3,7.5,58.5,44.9,57.5,42.5,61.1,38.9,69.422,79.111,83.403,2.239,57.267,72.8,73,1.101,1.002,37.294,6.2,27,54,15,26,51,18,123,66,329,268,82,184,184,82,52,13,15,198,49,173,36,46,28,274,91,183,188,65,5,2,116,38,162,239,94,47,22,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7,,66.9426,235,65.7295,271,116.383,20,115.29,57,93.8414,4,96.5133,30,18.7768,36,16.494,113.482,96.988,0.859,32,28,4,87.5,55.4,47.7,33.8,29.8,13.4,23.3,25.6,71.6,28.4,74.4,66.9,56.1,46.2,36.5,33.1,7.5,10.1,57.3,51.8,50.4,49.6,55.7,44.3,65.781,77.481,78.923,2.447,14.091,74.6,75.4,1.164,0.939,12.106,1.2,47,64,35,45,33,44,158,95,7,3,309,107,107,309,240,31,21,57,129,281,255,57,184,357,8,37,328,263,122,326,55,157,97,333,19,5,238,-1.7,104.8,106.5,0.454,342,175,167,51.16959064,50.8,50.8,34.1,34.5,18.8,18.3,29.6,70.7,29.3,70.4,68.7,50,50,34.7,34.6,7.8,8.2,51.4,51.9,60.7,39.3,59.8,40.2,68.5,77.146,79.944,2.07,9.978,75.9,75.3,1.051,1.055,14.574,-9.2,
2025,64,Texas A&M,4,,,Yale,13,,,,,67.4829,202,66.2185,237,109.403,110,116.281,43,99.5409,34,92.2075,8,24.0735,17,22.555,115.676,93.121,0.924,32,22,10,68.75,47.5,48.2,41.7,35.3,18.2,19.7,42,72.2,27.8,58,67.5,48,46.5,31.1,33.4,13.9,14.8,47.7,64.8,62.4,37.6,53,47,66.083,77.361,79.763,2.764,69.423,69.5,76.8,1.093,0.999,39.956,5.2,24,49,11,22,318,58,17,239,253,57,1,76,76,1,205,293,27,318,160,21,364,288,363,160,209,13,353,240,143,226,3,13,274,353,110,41,10,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,,68.8319,139,67.4019,174,117.148,15,114.444,61,101.516,71,103.508,105,10.9363,74,10.191,113.907,103.716,0.746,28,21,7,75,54.8,48.8,32,28.7,14.4,16.1,33.2,74.2,25.8,66.8,68.8,53.4,47.3,38.5,33.7,11.8,7.6,53.4,58.8,68,32,52,48,67.208,77.67,79.601,1.876,9.807,73.6,76.6,1.178,1.026,11.606,-2.7,78,61,118,79,41,88,205,71,22,258,82,24,24,82,139,90,46,10,177,62,41,128,328,29,336,6,359,179,104,254,244,188,127,352,12,89,254,-2.9,105.8,108.7,0.423,213,108,105,50.70422535,52.4,51.7,28.3,27.5,16.2,15.7,27,72.3,27.7,73,69.2,52.8,51.7,34.6,34.6,8.2,9.4,56.6,54.1,57.5,42.5,59.8,40.2,68.8,76.658,79.183,1.802,8.023,72.4,73.6,1.075,1.075,11.823,-8.9,
2025,64,Ole Miss,6,,,North Carolina,11,,,,,69.3352,102,68.1108,130,110.694,82,117.897,31,102.594,88,95.8241,25,22.0726,25,20.445,117.393,96.948,0.9,33,22,11,66.66667,51.1,50.5,35.6,39.5,12.8,20.5,25.4,69.2,30.8,74.6,69.3,51,51.6,34.1,32.7,12.4,11.2,53.5,58.3,59.8,40.2,56,44,67.977,76.185,79.496,2.701,56.397,73.8,70.5,1.105,1.027,41.324,4.8,28,31,34,30,161,163,106,324,3,36,314,234,234,314,107,182,212,163,114,47,316,125,321,219,150,43,324,132,326,266,7,40,121,102,84,91,8,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,,70.7715,46,70.5124,34,113.488,43,118.913,22,105.192,161,99.3766,54,19.5367,33,19.02,118.831,99.811,0.881,35,22,13,62.85714,54.2,49.6,34.8,30,15.1,15.2,29.2,72.9,27.1,70.8,70.8,54.9,49.2,35.3,33.5,9.7,10.5,51,47.5,63,37,62.1,37.9,70.562,76.417,79.98,1.623,87.298,73.7,74.8,1.134,1.052,35.154,1.4,35,21,65,36,53,118,126,106,43,310,205,54,54,205,47,49,113,96,167,151,289,206,67,138,229,223,148,34,293,202,307,2,124,308,44,163,38,10.9,112.6,101.7,0.763,587,324,263,55.19591141,51.7,50.3,32.7,31.2,16.5,17,30.6,70.9,29.1,69.4,67.3,51.9,50.2,34.2,33.7,9.8,8.8,51.1,50.5,61.6,38.4,61.2,38.8,67.5,77.817,81.113,1.869,53.585,74.1,73.7,1.093,1.053,27.675,-3.6,
2025,64,Iowa St.,3,,,Lipscomb,14,,,,,69.4841,95,68.6373,102,113.82,41,119.483,20,96.4765,14,92.4824,10,27.0002,10,26.529,118.876,92.347,0.948,33,24,9,72.72727,54.6,48.4,38.5,28.9,16.9,21.8,32.2,71.6,28.4,67.8,69.5,55.1,47.5,35.8,33.2,10.2,9.3,53.9,55.3,63.1,36.9,59.3,40.7,68.54,77.854,81.053,2.401,35.926,75.7,75,1.14,0.965,36.738,5.4,10,20,8,8,50,67,40,76,167,16,111,107,107,111,100,46,52,71,140,124,178,119,272,135,234,119,249,106,79,67,70,87,63,319,41,15,26,18.8,115.5,96.7,0.885,525,308,217,58.66666667,51.7,49.1,32.2,31,17,18.3,31.9,70.5,29.5,68.1,68.1,52,49,34.2,32.9,10.8,9.4,55.4,53.4,60.5,39.5,60.4,39.6,68,77.776,80.907,2.079,50.51,72.4,72.2,1.089,1.019,38.067,1.2,,67.3035,218,65.9466,258,115.488,25,112.711,75,100.691,56,103.225,100,9.48582,83,6.677,110.718,104.041,0.672,32,23,9,71.875,55.9,48.6,31.4,22.3,14.4,15.9,24,73.5,26.5,76,67.3,56.7,49.9,36.7,31,7.7,10.1,54.4,39.5,52.6,47.4,62.8,37.2,66.081,76.309,80.035,2.583,0.2,79.6,67.1,1.15,1.003,11.694,-4.1,102,97,125,101,22,79,227,8,22,270,332,40,40,332,220,21,138,46,40,275,255,108,4,340,27,247,119,242,314,193,17,364,7,5,32,52,251,-6.9,104.4,111.3,0.324,367,158,209,43.05177112,51.2,53,28.7,30.3,16.2,16.1,28.4,69.8,30.2,71.6,68.1,50.9,52.6,34.3,35.7,8.9,9.8,51.1,52,58.8,41.2,59.3,40.7,68,76.738,79.662,1.908,7.774,72,71.9,1.066,1.107,13.014,-12.3,
2025,64,Marquette,7,,,New Mexico,10,,,,,69.453,100,69.1435,74,111.584,67,115.459,53,101.409,69,98.2866,44,17.1723,43,18.467,116.256,97.789,0.88,32,21,11,65.625,53.9,50.6,37.2,28.1,16,17.6,25.2,74.8,25.2,74.8,69.5,51.3,50.5,38.8,33.9,7.2,11.3,63.9,56,62.6,37.4,62.8,37.2,69.015,76.997,80.414,2.524,42.959,79.4,71.8,1.115,1.013,28.812,0.35,36,41,38,37,56,169,61,57,102,151,319,15,15,319,100,167,162,6,190,294,321,4,286,152,215,247,119,78,207,138,32,66,9,163,69,68,63,12.9,113.1,100.2,0.801,361,204,157,56.50969529,52.2,49.7,30.3,29.2,16.8,17,30.6,71.5,28.5,69.4,67.1,52.4,49.3,34.7,33.5,10.7,9.7,56,53.1,59.2,40.8,61.4,38.6,67.5,77.931,80.875,1.97,59.681,73.1,72,1.09,1.034,29.676,-2.3,,72.9099,7,72.7518,4,108.691,122,112.545,79,96.5138,15,95.2167,19,17.3279,41,16.83,111.747,94.917,0.867,32,25,7,78.125,50.8,49.2,37.8,35,15.6,20.5,31.5,74.4,25.6,68.5,72.9,50.6,48.2,34.1,33.8,14.3,9.5,51.5,59.5,67.8,32.2,61.7,38.3,73.074,78.318,81.232,2.047,45.924,68.4,66.7,1.089,0.964,24.388,2.8,43,87,18,40,176,100,50,233,74,36,130,21,21,130,7,199,73,163,186,15,201,187,337,32,334,208,161,4,30,54,178,62,308,2,118,14,81,7.4,109.6,102.2,0.691,353,187,166,52.97450425,51.4,50.7,35.1,33.5,17.2,17.8,28.8,71.5,28.5,71.2,67,51.9,50.9,33.8,33.5,10.1,9.4,54.4,53.7,60.4,39.6,59.7,40.3,67.4,77.782,80.644,1.952,25.06,70.5,70.2,1.063,1.042,23.621,-5.5,
2025,64,Michigan St.,2,,,Bryant,15,,,,,69.2266,108,67.7809,144,112.538,58,118.056,29,96.7934,16,90.49,5,27.5664,8,24.997,116.833,91.836,0.941,33,27,6,81.81818,51.2,46.1,37.8,33.1,16.6,16.4,35.3,75.4,24.6,64.7,69.2,53.6,49.1,30.8,27.9,13.3,7.8,61.6,53.4,67.3,32.7,58.6,41.4,67.859,78.039,81.913,1.752,74.743,78.1,72.2,1.125,0.968,34.707,7.8,17,37,5,13,151,13,50,183,148,239,34,8,8,34,110,87,107,327,2,27,51,13,222,36,331,92,275,139,60,20,276,7,20,194,58,16,39,17.3,116,98.7,0.865,585,353,232,60.34188034,52.8,49.9,34,31,16.1,17.4,30.4,71,29,69.6,68.9,53.5,50.4,34.4,32.7,9.9,8.6,55.5,53.1,62,38,61.5,38.5,68.4,78.01,81.219,1.962,56.145,73.9,73,1.11,1.038,34.707,0.7,,73.1396,6,72.5242,7,109.621,102,106.725,178,101.303,68,105.547,148,1.17756,149,0.413,105.753,105.34,0.511,32,21,11,65.625,51,47.7,30.4,30,16.5,16.4,34.2,71.2,28.8,65.8,73.2,51.5,47.3,33.4,32.2,14.8,5.7,48.7,42.9,65.2,34.8,64,36,72.335,78.792,80.395,2.502,33.52,71.8,72,1.095,1.015,9.31,-7.1,153,190,152,154,166,44,265,106,136,239,54,130,130,54,6,162,46,198,87,10,2,264,17,82,286,278,90,7,12,144,38,96,203,177,106,69,314,-10.4,100.6,111,0.244,273,120,153,43.95604396,50.5,51.2,29.8,30.8,17.2,16.7,27.2,70,30,72.8,68.2,50.5,51.7,33.6,33.6,9.4,9.8,49.3,48.3,62.9,37.1,63.4,36.6,68.2,77.059,79.416,2.124,6.714,71.7,71.4,1.033,1.07,8.516,-13.6,
2025,64,Florida,1,,,Norfolk St.,16,,,,,70.9277,43,69.5912,62,120.249,6,127.938,3,97.1962,18,92.1126,7,35.8258,2,33.693,127.699,94.006,0.971,34,30,4,88.23529,55,45.3,32.6,33,15,17,38.1,71.2,28.8,61.9,70.8,56.4,45.9,35.5,29.6,12.3,8.6,52.4,46.4,56.4,43.6,62.7,37.3,69.516,78.018,82.097,1.887,28.619,71.8,70.7,1.206,0.977,37.75,11.1,4,3,13,4,37,7,189,181,38,187,8,130,130,8,47,27,15,86,8,49,108,156,50,292,76,245,122,64,63,11,241,106,203,114,5,20,20,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,,67.3721,211,66.4103,226,110.269,88,107.201,168,104.695,147,108.723,217,-1.52118,180,-2.814,106.215,109.029,0.425,31,21,10,67.74194,52.4,49.7,39,34.9,18.3,18.6,32.8,66.2,33.8,67.2,67.4,54.5,48.9,31.3,33.9,9,9.3,49.3,59.2,72.3,27.7,57.3,42.7,66.306,76.741,80.249,2.602,7.466,75.3,71,1.103,1.046,12.001,-5.3,195,178,237,195,102,123,34,231,263,93,94,336,336,94,211,60,100,306,190,194,178,252,333,5,360,66,301,226,254,162,14,209,76,123,88,147,239,-13.2,100.2,113.4,0.194,228,87,141,38.15789474,49.4,52.9,37.8,40.2,19.5,19.1,31.7,65.5,34.5,68.3,69.6,49.3,54.1,33,34,7.7,8.9,50.5,54.3,69.5,30.5,63.2,36.8,69,76.754,79.845,2.219,3.411,71.4,72,1.027,1.102,11.547,-13.4,
2025,64,UConn,8,,,Oklahoma,9,,,,,64.5293,340,63.7849,344,118.148,11,121.965,14,104.135,127,102.633,94,19.3318,35,19.585,121.595,102.01,0.883,33,23,10,69.69697,55.5,48.3,30.6,40,17.1,15.5,35.6,72.6,27.4,64.4,64.5,57.3,46,35.4,35.1,17.9,8.9,64,44.2,57.4,42.6,65.8,34.2,63.782,78.167,80.841,1.638,87.492,79.1,73,1.182,1.039,30.085,2.2,32,16,92,35,30,62,256,333,179,297,25,67,67,25,342,18,17,90,264,2,145,3,24,275,90,330,38,340,41,83,302,1,11,239,11,121,57,12.9,113.1,100.2,0.801,361,204,157,56.50969529,52.2,49.7,30.3,29.2,16.8,17,30.6,71.5,28.5,69.4,67.1,52.4,49.3,34.7,33.5,10.7,9.7,56,53.1,59.2,40.8,61.4,38.6,67.5,77.931,80.875,1.97,59.681,73.1,72,1.09,1.034,29.676,-2.3,,70.0235,74,68.6051,106,112.581,56,119.062,21,106.757,190,100.717,70,18.345,38,16.818,117.673,100.855,0.855,33,20,13,60.60606,54.9,51.1,39.6,35.8,17.3,18.1,26.5,68.3,31.7,73.5,70,54.6,54.9,37,30.5,6.8,10.4,52,47.3,58.1,41.9,58.1,41.9,68.427,77.138,80.403,2.256,48.517,79.4,72.9,1.126,1.069,39.435,2.1,44,30,77,46,39,195,29,255,192,115,277,277,277,277,80,56,322,36,22,315,284,172,62,259,111,81,285,109,180,141,112,56,9,232,55,196,11,21.8,118.9,97.1,0.911,526,344,182,65.39923954,53,48.9,37,34,16,17.5,32.5,70.2,29.8,67.5,69.7,54.1,49.4,34.2,32.1,12,10,52.4,48.9,59.3,40.7,60.4,39.6,69,77.65,80.985,2.132,53.403,73,72.2,1.133,1.032,39.535,3.8,
