YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM,CONF_A,K TEMPO_A,K TEMPO RANK_A,KADJ T_A,KADJ T RANK_A,K OFF_A,KO RANK_A,KADJ O_A,KADJ O RANK_A,K DEF_A,KD RANK_A,KADJ D_A,KADJ D RANK_A,KADJ EM_A,KADJ EM RANK_A,BADJ EM_x_A,BADJ O_x_A,BADJ D_x_A,BARTHAG_x_A,GAMES_A,W_x_A,L_x_A,WIN%_x_A,EFG%_x_A,EFG%D_A,FTR_x_A,FTRD_x_A,TOV%_x_A,TOV%D_x_A,OREB%_x_A,DREB%_x_A,OP OREB%_x_A,OP DREB%_x_A,RAW T_x_A,2PT%_x_A,2PT%D_x_A,3PT%_x_A,3PT%D_x_A,BLK%_x_A,BLKED%_x_A,AST%_x_A,OP AST%_A,2PTR_x_A,3PTR_x_A,2PTRD_x_A,3PTRD_x_A,BADJ T_x_A,AVG HGT_x_A,EFF HGT_x_A,EXP_x_A,TALENT_x_A,FT%_x_A,OP FT%_x_A,PPPO_x_A,PPPD_x_A,ELITE SOS_x_A,WAB_x_A,BADJ EM RANK_A,BADJ O RANK_A,BADJ D RANK_A,BARTHAG RANK_A,EFG% RANK_A,EFGD% RANK_A,FTR RANK_A,FTRD RANK_A,TOV% RANK_A,TOV%D RANK_A,OREB% RANK_A,DREB% RANK_A,OP OREB% RANK_A,OP DREB% RANK_A,RAW T RANK_A,2PT% RANK_A,2PT%D RANK_A,3PT% RANK_A,3PT%D RANK_A,BLK% RANK_A,BLKED% RANK_A,AST% RANK_A,OP AST% RANK_A,2PTR RANK_A,3PTR RANK_A,2PTRD RANK_A,3PTRD RANK_A,BADJT RANK_A,AVG HGT RANK_A,EFF HGT RANK_A,EXP RANK_A,TALENT RANK_A,FT% RANK_A,OP FT% RANK_A,PPPO RANK_A,PPPD RANK_A,ELITE SOS RANK_A,CONF ID_y_A,BADJ EM_y_A,BADJ O_y_A,BADJ D_y_A,BARTHAG_y_A,G_A,W_y_A,L_y_A,WIN%_y_A,EFG%_y_A,EFGD%_A,FTR_y_A,FTRD_y_A,TOV%_y_A,TOV%D_y_A,OREB%_y_A,DREB%_y_A,OP OREB%_y_A,OP DREB%_y_A,RAW T_y_A,2PT%_y_A,2PT%D_y_A,3PT%_y_A,3PT%D_y_A,BLK%_y_A,BLKED%_y_A,AST%_y_A,OP AST %_A,2PTR_y_A,3PTR_y_A,2PTRD_y_A,3PTRD_y_A,BADJ T_y_A,AVG HGT_y_A,EFF HGT_y_A,EXP_y_A,TALENT_y_A,FT%_y_A,OP FT%_y_A,PPPO_y_A,PPPD_y_A,ELITE SOS_y_A,WAB_y_A,CONF_B,K TEMPO_B,K TEMPO RANK_B,KADJ T_B,KADJ T RANK_B,K OFF_B,KO RANK_B,KADJ O_B,KADJ O RANK_B,K DEF_B,KD RANK_B,KADJ D_B,KADJ D RANK_B,KADJ EM_B,KADJ EM RANK_B,BADJ EM_x_B,BADJ O_x_B,BADJ D_x_B,BARTHAG_x_B,GAMES_B,W_x_B,L_x_B,WIN%_x_B,EFG%_x_B,EFG%D_B,FTR_x_B,FTRD_x_B,TOV%_x_B,TOV%D_x_B,OREB%_x_B,DREB%_x_B,OP OREB%_x_B,OP DREB%_x_B,RAW T_x_B,2PT%_x_B,2PT%D_x_B,3PT%_x_B,3PT%D_x_B,BLK%_x_B,BLKED%_x_B,AST%_x_B,OP AST%_B,2PTR_x_B,3PTR_x_B,2PTRD_x_B,3PTRD_x_B,BADJ T_x_B,AVG HGT_x_B,EFF HGT_x_B,EXP_x_B,TALENT_x_B,FT%_x_B,OP FT%_x_B,PPPO_x_B,PPPD_x_B,ELITE SOS_x_B,WAB_x_B,BADJ EM RANK_B,BADJ O RANK_B,BADJ D RANK_B,BARTHAG RANK_B,EFG% RANK_B,EFGD% RANK_B,FTR RANK_B,FTRD RANK_B,TOV% RANK_B,TOV%D RANK_B,OREB% RANK_B,DREB% RANK_B,OP OREB% RANK_B,OP DREB% RANK_B,RAW T RANK_B,2PT% RANK_B,2PT%D RANK_B,3PT% RANK_B,3PT%D RANK_B,BLK% RANK_B,BLKED% RANK_B,AST% RANK_B,OP AST% RANK_B,2PTR RANK_B,3PTR RANK_B,2PTRD RANK_B,3PTRD RANK_B,BADJT RANK_B,AVG HGT RANK_B,EFF HGT RANK_B,EXP RANK_B,TALENT RANK_B,FT% RANK_B,OP FT% RANK_B,PPPO RANK_B,PPPD RANK_B,ELITE SOS RANK_B,CONF ID_y_B,BADJ EM_y_B,BADJ O_y_B,BADJ D_y_B,BARTHAG_y_B,G_B,W_y_B,L_y_B,WIN%_y_B,EFG%_y_B,EFGD%_B,FTR_y_B,FTRD_y_B,TOV%_y_B,TOV%D_y_B,OREB%_y_B,DREB%_y_B,OP OREB%_y_B,OP DREB%_y_B,RAW T_y_B,2PT%_y_B,2PT%D_y_B,3PT%_y_B,3PT%D_y_B,BLK%_y_B,BLKED%_y_B,AST%_y_B,OP AST %_B,2PTR_y_B,3PTR_y_B,2PTRD_y_B,3PTRD_y_B,BADJ T_y_B,AVG HGT_y_B,EFF HGT_y_B,EXP_y_B,TALENT_y_B,FT%_y_B,OP FT%_y_B,PPPO_y_B,PPPD_y_B,ELITE SOS_y_B,WAB_y_B
2026,64,Ohio St.,8,,,TCU,9,64,,,B10,66.5802,263,66.0578,251,118.264,34,124.305,17,108.263,171,102.066,54,22.2397,26,23.609,125.217,101.608,0.917,33,21,12,63.63636364,56.5,50.3,37.8,35.1,15.4,15.8,30.8,70,30,69.2,66.6,58.2,52.3,36,31.6,7,8.8,52,53.4,59.9,40.1,59.7,40.3,66.161,77.666,81.619,1.779,68.946,77.5,74.3,1.186,1.082,37.869,2.9,22,13,47,23,20,123,111,180,100,237,175,162,162,175,266,19,213,62,52,313,139,194,212,199,169,152,218,247,120,36,232,14,23,286,31,172,19,6,18.9,119.7,100.8,0.878,591,353,238,59.72927242,53.5,50.7,34.4,30.9,15.3,16.2,31.6,70.6,29.4,68.4,66.8,54.7,51.4,34.6,33.2,10,9.1,58.3,55.7,58.2,41.8,58.1,41.9,67.3,78.191,81.466,1.85,49.036,75.3,74.5,1.143,1.071,36.914,1.2,B12,69.666,108,67.6696,159,110.922,124,115.379,81,101.96,44,97.7924,22,17.5867,43,15.195,114.85,99.655,0.836,33,22,11,66.66666667,50.9,51,38.7,30.4,15.5,19.7,34.4,70.8,29.2,65.6,69.7,51.6,51.3,33.1,33.7,12.6,9.9,57.6,61,63.1,36.9,61.9,38.1,67.58,76.426,79.205,1.807,50.351,70.8,71.9,1.111,1.023,33.811,2.4,51,84,30,49,202,166,89,70,107,31,63,125,125,63,109,191,158,228,170,34,234,63,347,134,233,232,138,170,313,319,225,44,244,158,120,49,42,7,18.4,118.6,100.2,0.874,524,324,200,61.83206107,53,50.2,33.7,31.6,15.9,17.1,32.7,69.9,30.1,67.3,69.4,53,50,35.3,33.6,10.4,9.1,54.4,52.5,61.6,38.4,61.3,38.7,68.9,77.829,81.146,1.808,45.837,72.9,71.9,1.131,1.053,35.673,1.5
2026,64,St. John's,5,,,Northern Iowa,12,64,,,BE,70.9942,54,69.5583,68,114.263,69,120.068,44,98.5594,19,94.1597,12,25.9079,17,25.712,119.836,94.124,0.941,34,28,6,82.35294118,51,47.4,41.9,31.8,14.7,19.4,35.9,69.8,30.2,64.1,71,51.6,47.5,33.2,31.3,12.4,9.5,58.2,47.2,66.2,33.8,66.3,33.7,69.604,78.154,80.478,2.3,70.084,72.7,71.7,1.145,0.982,31.162,7.3,19,43,10,16,197,32,37,98,53,38,29,172,172,29,55,191,39,221,43,44,192,54,55,67,300,338,29,63,61,151,61,12,179,141,67,16,67,8,14.1,115.5,101.4,0.817,361,207,154,57.34072022,51.7,50.1,34.4,32.6,16,17.2,32,69.1,30.9,68,68.8,52.3,50,33.9,33.5,10.2,9.7,57.6,54.9,61.2,38.8,62.9,37.1,68.6,77.924,80.821,1.881,53.105,72.2,72,1.105,1.056,30.886,-1.5,MVC,63.4121,362,62.2651,363,108.087,183,110.001,153,97.1395,9,98.1918,24,11.8089,72,11.129,109.711,98.582,0.774,34,22,12,64.70588235,54.2,47.2,25.7,29.3,14.6,18.1,22,73.7,26.3,78,63.4,55.3,50,34.9,28.9,9.8,8.1,57.1,49.3,60.4,39.6,58.5,41.5,62.187,77.565,79.727,2.321,19.874,69.7,71.8,1.081,0.971,14.539,-5.3,75,150,25,70,66,25,362,52,47,97,356,23,23,356,363,54,106,130,3,152,72,69,98,188,180,111,259,365,139,252,57,130,280,151,183,10,169,19,2.4,108.7,106.3,0.564,347,181,166,52.16138329,52.1,50.8,33.1,32.4,16.6,17,28.7,70.8,29.2,71.3,67.9,52.8,51.1,34.1,33.6,9.3,9.1,53.7,52.2,59.5,40.5,60.2,39.8,68.2,77.417,80.589,1.801,13.423,71.4,71.3,1.08,1.059,14.939,-8
2026,64,Kansas,4,,,Cal Baptist,13,64,,,B12,68.2177,190,67.6362,164,109.793,142,118.33,57,100.811,34,93.8906,10,24.4399,21,23.486,117.869,94.383,0.928,33,23,10,69.6969697,51.6,45.2,32.6,27.7,15.5,14,29.5,69.9,30.1,70.5,68.2,51.1,44.7,35,30.7,15.6,8.3,53.3,48,64.3,35.7,58,42,67.61,78.153,80.749,1.629,57.848,76.7,69.4,1.1,1.009,41.65,6.3,23,56,11,22,173,4,248,32,107,339,223,168,168,223,191,212,7,125,30,6,90,153,69,109,258,96,271,168,63,119,273,30,41,34,137,34,3,7,18.4,118.6,100.2,0.874,524,324,200,61.83206107,53,50.2,33.7,31.6,15.9,17.1,32.7,69.9,30.1,67.3,69.4,53,50,35.3,33.6,10.4,9.1,54.4,52.5,61.6,38.4,61.3,38.7,68.9,77.829,81.146,1.808,45.837,72.9,71.9,1.131,1.053,35.673,1.5,WAC,67.4426,223,65.8019,265,106.986,208,107.926,191,99.1084,22,101.933,50,5.99314,106,7.173,107.493,100.32,0.689,33,25,8,75.75757576,48.6,46.4,36.1,37.1,18.1,17.1,37.8,72.8,27.2,62.2,67.4,47.7,47.3,33.7,29.7,7.5,9.6,40.4,46,67.9,32.1,68.3,31.7,65.931,76.493,81.394,2.169,1.476,71.9,71.9,1.071,0.991,12.593,-2.3,98,193,37,96,302,16,155,240,281,154,11,46,46,11,226,318,36,192,6,294,204,361,33,39,328,358,9,261,305,54,106,266,213,158,206,23,222,32,-0.7,105.7,106.4,0.481,211,107,104,50.71090047,50.1,50.8,37.6,39.5,19.7,19.2,32.5,68.5,31.5,67.5,68.7,50.6,51.2,32.8,33.4,9.2,9.5,49.7,49.6,67.6,32.4,67.1,32.9,68.5,77.299,80.333,1.898,10.298,71.6,72,1.039,1.053,15.198,-6.8
2026,64,Louisville,6,,,South Florida,11,64,,,ACC,70.9731,55,69.6486,62,119.143,25,124.053,19,102.053,46,98.6289,25,25.4242,19,25.868,124.034,98.166,0.936,33,23,10,69.6969697,56.4,48.8,33.5,33.4,16.4,16.7,32.9,73.1,26.9,67.1,71,59.7,48.6,35.7,32.7,9.2,12.4,59.5,48.3,47.2,52.8,60.9,39.1,69.712,78.246,81.646,2.208,39.12,76.9,71.2,1.194,1.017,35.248,4,18,22,23,17,21,61,227,138,160,176,95,36,36,95,55,10,56,78,103,182,347,39,78,362,4,194,173,62,52,33,90,71,35,112,21,43,32,2,15.7,117.1,101.4,0.84,585,354,231,60.51282051,53.2,50.2,34.7,32.6,15.6,16.8,31.8,70.5,29.5,68.2,68.4,53.8,50.5,34.9,33.1,10.8,9.7,53.6,51.9,57.7,42.3,58.3,41.7,68.4,78.069,81.107,1.798,55.261,72,72.1,1.131,1.056,31.421,-0.35,Amer,72.9091,12,71.5099,15,117.107,44,117.305,61,102.155,49,100.918,40,16.3874,47,15.363,116.785,101.422,0.835,32,24,8,75,50.9,48.4,41.1,38.8,15.2,18.8,38.2,68.2,31.8,61.8,72.9,51.9,46.7,33.1,33.9,10.9,13.3,58.8,51.3,56.2,43.8,60.5,39.5,71.401,77.061,79.722,2.247,30.828,74.3,70.1,1.17,1.026,18.197,-0.26,50,67,44,50,202,49,51,279,81,58,7,249,249,7,12,178,27,228,183,95,358,47,154,274,96,183,189,17,225,254,79,89,115,56,44,54,110,4,1.7,109.3,107.6,0.545,403,206,197,51.11662531,49.6,50.1,37.3,36.3,16.2,16.5,33,67.8,32.2,67,68.4,50,50.2,32.7,33.2,11,10.3,49.8,50.7,61.5,38.5,61.2,38.8,68.4,77.342,80.448,1.951,24.405,72.1,71.9,1.085,1.079,16.022,-8.5
2026,64,Michigan St.,3,,,North Dakota St.,14,64,,,B10,66.801,253,66.0475,252,117.217,42,123.049,24,101.382,40,94.7386,13,28.31,9,26.73,122.89,96.16,0.944,32,25,7,78.125,53.6,48.6,36.2,30.9,17.1,14.8,38.5,77.4,22.6,61.5,66.8,53.4,48,35.9,32.9,13.3,8.1,67,56.4,63.6,36.4,54,46,65.981,78.478,81.667,1.815,68.794,76.3,75.1,1.173,1.017,37.86,7.4,12,28,16,13,82,53,150,82,215,305,4,1,1,4,253,112,45,68,116,20,72,2,293,126,240,22,344,257,35,32,223,15,48,318,42,43,20,6,18.9,119.7,100.8,0.878,591,353,238,59.72927242,53.5,50.7,34.4,30.9,15.3,16.2,31.6,70.6,29.4,68.4,66.8,54.7,51.4,34.6,33.2,10,9.1,58.3,55.7,58.2,41.8,58.1,41.9,67.3,78.191,81.466,1.85,49.036,75.3,74.5,1.143,1.071,36.914,1.2,Sum,68.0273,198,66.2972,237,114.563,67,111.74,124,102.597,54,106.606,124,5.13396,113,5.41,111.459,106.049,0.639,31,24,7,77.41935484,53.4,51.5,30.7,29.1,15.6,18.7,33.6,74.3,25.7,66.4,68,53.2,52.6,35.7,33.5,9,9,53,55.1,57.3,42.7,55.6,44.4,66.357,76.177,79.574,1.834,0.2,71.6,74.8,1.145,1.025,8.155,-3.4,115,122,121,114,86,191,290,48,114,65,78,18,18,78,203,126,222,78,160,204,151,166,256,246,122,40,328,236,336,278,215,365,221,308,67,53,339,30,-6.3,106.7,113,0.341,267,116,151,43.44569288,51.7,53.8,34.5,34.4,15.9,16,28.1,70.1,29.9,71.9,69.4,52.5,54.7,33.7,34.9,7.6,8.9,48,50.5,59.2,40.8,59.7,40.3,68.9,76.779,79.756,1.779,7.662,72,72.2,1.083,1.121,12.495,-11.8
2026,64,UCLA,7,,,UCF,10,64,,,B10,65.6763,310,64.6449,318,117.078,45,123.728,22,107.182,138,102.061,53,21.667,27,22.757,124.518,101.761,0.911,34,23,11,67.64705882,53.9,50.4,33.1,34.7,13.4,18.1,31.1,67.6,32.4,68.9,65.7,52,52.7,38.2,31.8,9.4,8.1,59.4,63.3,64.1,35.9,55.3,44.7,64.688,77.997,81.299,2.244,70.281,76.7,75.3,1.17,1.069,36.27,3.6,24,17,51,24,72,130,236,169,14,97,165,280,280,165,310,169,226,16,59,174,72,40,359,113,256,36,330,317,80,61,80,11,41,332,44,136,26,6,18.9,119.7,100.8,0.878,591,353,238,59.72927242,53.5,50.7,34.4,30.9,15.3,16.2,31.6,70.6,29.4,68.4,66.8,54.7,51.4,34.6,33.2,10,9.1,58.3,55.7,58.2,41.8,58.1,41.9,67.3,78.191,81.466,1.85,49.036,75.3,74.5,1.143,1.071,36.914,1.2,B12,70.6277,71,69.2088,78,113.618,79,120.452,40,110.327,229,105.413,101,15.0386,54,14.327,119.999,105.672,0.812,32,21,11,65.625,52.8,52.4,30.8,35.2,15.7,15.8,34.4,71.5,28.5,65.6,70.6,52.1,53.2,36.2,34,8.3,9,53.6,51.3,65.6,34.4,60.3,39.7,69.116,78.696,82.08,2.429,42.096,74,74.3,1.137,1.102,33.921,2.1,55,39,114,58,113,236,286,184,119,237,63,89,89,63,74,166,246,48,188,246,151,146,154,81,287,173,198,86,22,20,39,64,138,286,76,225,41,7,18.4,118.6,100.2,0.874,524,324,200,61.83206107,53,50.2,33.7,31.6,15.9,17.1,32.7,69.9,30.1,67.3,69.4,53,50,35.3,33.6,10.4,9.1,54.4,52.5,61.6,38.4,61.3,38.7,68.9,77.829,81.146,1.808,45.837,72.9,71.9,1.131,1.053,35.673,1.5
2026,64,Connecticut,2,,,Furman,15,64,,,BE,66.0567,293,64.4462,322,116.349,50,121.986,30,97.6819,11,94.1163,11,27.8694,11,28.125,123.091,94.966,0.952,34,29,5,85.29411765,55.3,45.7,30,40.2,16.8,18,35.7,71.3,28.7,64.3,66,57.1,45.8,35.2,30.3,15.2,9.7,65,48.5,59.7,40.3,63.8,36.2,64.583,78.303,81.367,1.997,84.266,71.6,71.9,1.165,0.979,33.294,8.8,9,25,12,9,37,9,313,302,189,101,35,95,95,35,300,33,13,106,16,9,215,7,82,203,164,283,86,323,45,56,161,3,221,158,50,15,46,8,14.1,115.5,101.4,0.817,361,207,154,57.34072022,51.7,50.1,34.4,32.6,16,17.2,32,69.1,30.9,68,68.8,52.3,50,33.9,33.5,10.2,9.7,57.6,54.9,61.2,38.8,62.9,37.1,68.6,77.924,80.821,1.881,53.105,72.2,72,1.105,1.056,30.886,-1.5,SC,66.4903,275,65.8575,263,111.749,108,107.451,200,107.216,141,109.43,181,-1.9789,191,-2.106,106.897,109.003,0.444,31,19,12,61.29032258,54.8,50.1,32.1,28.9,17.8,13.7,31,72.5,27.5,69,66.5,59,50.9,33.3,32.6,9.4,10.8,55.8,46.8,53.7,46.3,58.1,41.9,65.841,79.189,81.426,1.607,11.546,69.8,70.2,1.116,1.073,7.376,-8.7,194,207,177,195,47,112,258,45,261,343,171,52,52,171,278,14,136,213,96,174,294,94,48,325,42,97,269,265,5,50,274,176,276,60,110,147,351,27,-9.6,105.8,115.4,0.269,301,136,165,45.18272425,52.3,53.7,34.9,34.2,15.2,14.9,28.7,70.2,29.8,71.3,67.6,53.1,53.8,34.1,35.6,8,9.1,50.7,51.1,55.7,44.3,56.9,43.1,67.9,76.7,79.572,1.74,5.44,71.5,72.4,1.104,1.139,9.611,-12.6
2026,64,Clemson,8,,,Iowa,9,64,,,ACC,65.4573,318,64.21,333,112.289,99,116.522,71,101.106,37,97.2852,20,19.2364,36,19.586,116.541,96.955,0.892,34,24,10,70.58823529,52.6,48.9,37.1,33.1,14.2,17.5,28.1,74.3,25.7,71.9,65.5,53.8,49,34.1,32.6,9.1,10.3,50.2,46.4,57.1,42.9,57.1,42.9,64.273,77.953,81.538,2.344,43.89,72.6,74.7,1.124,1.012,31.538,3.2,34,69,20,30,124,68,131,134,29,125,267,18,18,267,318,92,66,170,96,196,262,240,41,252,117,73,295,330,84,42,53,58,185,304,97,38,64,2,15.7,117.1,101.4,0.84,585,354,231,60.51282051,53.2,50.2,34.7,32.6,15.6,16.8,31.8,70.5,29.5,68.2,68.4,53.8,50.5,34.9,33.1,10.8,9.7,53.6,51.9,57.7,42.3,58.3,41.7,68.4,78.069,81.107,1.798,55.261,72,72.1,1.131,1.056,31.421,-0.35,B10,63.3898,363,63.0052,357,118.167,35,121.742,31,103.891,74,99.2974,30,22.4441,25,21.94,122.131,100.191,0.907,33,21,12,63.63636364,56.6,52.7,34.5,39.1,15.2,21,30.1,72,28,69.9,63.4,58.7,54,35.7,33.7,6.7,8.3,58,51,58.4,41.6,60.9,39.1,63.027,78.486,80.798,1.776,14.299,77,73.1,1.182,1.037,35.51,1.9,25,30,35,26,16,256,201,289,81,14,196,68,68,196,363,17,278,78,170,323,90,59,146,226,140,194,173,358,34,111,233,155,33,227,38,73,28,6,18.9,119.7,100.8,0.878,591,353,238,59.72927242,53.5,50.7,34.4,30.9,15.3,16.2,31.6,70.6,29.4,68.4,66.8,54.7,51.4,34.6,33.2,10,9.1,58.3,55.7,58.2,41.8,58.1,41.9,67.3,78.191,81.466,1.85,49.036,75.3,74.5,1.143,1.071,36.914,1.2
2026,64,Vanderbilt,5,,,McNeese St.,12,64,,,SEC,70.7876,62,68.8493,98,121.231,9,126.805,7,105.883,109,99.2995,31,27.5051,12,28.113,127.446,99.333,0.946,34,26,8,76.47058824,55.3,48.8,38.2,41,13.3,17.9,31.2,68.4,31.6,68.8,70.8,56.8,49.1,35.5,32.2,12.6,7.1,56.2,46.6,56.4,43.6,62.1,37.9,68.982,77.259,79.921,2.308,35.964,79.3,75.2,1.211,1.054,37.121,7.3,10,7,29,10,37,61,102,312,11,107,160,235,235,160,63,36,70,91,74,34,18,85,43,266,100,242,128,94,191,231,59,77,4,325,10,100,23,28,19.3,121.2,101.9,0.88,525,316,209,60.19047619,53.5,50.3,38.1,35.5,14.9,15.6,34.1,69,31,65.9,70.3,54.8,50.3,34.4,33.4,11.1,9.5,52.2,50.3,60,40,61.3,38.7,69.4,78.032,81.381,1.935,54.81,73.9,72.8,1.17,1.085,36.651,1.4,Slnd,66.4824,277,66.2315,247,114.794,64,114.306,91,99.8257,27,101.805,47,12.5017,68,10.985,113.158,102.173,0.764,31,26,5,83.87096774,51,48.9,38.3,42.1,14.3,24.6,35,65,35,65,66.5,52.9,49.1,31.6,32.5,15.8,6.7,49.2,57.2,64.9,35.1,53.2,46.8,66.136,77.089,79.745,1.919,48.482,74,72.8,1.143,0.997,14.16,0.7,77,99,59,73,197,68,98,326,35,1,49,340,340,49,278,137,70,304,90,4,14,261,302,95,272,16,352,250,218,250,188,49,138,212,69,26,184,29,-4,105.5,109.5,0.395,364,165,199,45.32967033,50,51.3,35.8,38.5,17.9,18,31,68,32,69,66.6,50.1,51.7,33.2,33.7,9.4,9.6,53,54.5,61.9,38.1,61.8,38.2,67.3,76.657,79.445,2.232,6.418,70.8,71.6,1.051,1.078,14.049,-10.9
2026,64,Nebraska,4,,,Troy,13,64,,,B10,67.2763,232,66.7205,218,113.845,74,118.544,55,97.7934,13,92.3865,7,26.1577,14,23.771,117.254,93.483,0.931,32,26,6,81.25,55.4,47.8,27.2,24.8,14.4,19.2,26.3,72.3,27.7,73.7,67.3,58.1,50.6,35.3,29.9,8.7,9.3,65.6,60.5,49.3,50.7,50.7,49.3,66.821,77.645,80.688,2.26,42.458,75,72.6,1.14,0.977,35.291,7.5,21,61,7,20,32,39,350,6,38,44,314,61,61,314,234,22,126,103,7,217,169,6,341,355,13,5,361,216,125,127,73,63,87,202,71,14,31,6,18.9,119.7,100.8,0.878,591,353,238,59.72927242,53.5,50.7,34.4,30.9,15.3,16.2,31.6,70.6,29.4,68.4,66.8,54.7,51.4,34.6,33.2,10,9.1,58.3,55.7,58.2,41.8,58.1,41.9,67.3,78.191,81.466,1.85,49.036,75.3,74.5,1.143,1.071,36.914,1.2,SB,67.0265,245,64.8776,309,112.198,102,110.717,141,106.434,120,108.997,166,1.72038,143,1.678,110.722,109.044,0.544,31,20,11,64.51612903,51.9,50.1,36.3,32.1,17,16.9,34.8,68.4,31.6,65.2,67,53.7,52,33.2,31.3,9.1,11,57,49.3,54.4,45.6,61.6,38.4,65.084,77.648,80.428,1.897,0.2,73.8,70.7,1.12,1.066,11.323,-6.2,142,136,181,142,154,112,147,106,207,166,55,235,235,55,247,96,198,221,43,196,305,72,98,312,55,218,152,303,123,156,191,365,146,81,103,128,255,26,-5.7,105.4,111.1,0.353,438,212,226,48.40182648,50.2,50.8,36.2,36.9,16.5,16.1,30.1,69,31,69.9,68.4,50.4,51.1,33.2,33.6,9.7,9.8,48.6,49.9,59.4,40.6,59.5,40.5,68.3,77.225,80.124,2.003,10.022,72.4,71.9,1.069,1.09,10.285,-11.7
