YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM
2024,64,Connecticut,1,1,91,Stetson,16,64,52,Connecticut
2024,64,North Carolina,1,16,90,Wagner,16,64,62,North Carolina
2024,64,Houston,1,16,86,Longwood,16,64,46,Houston
2024,64,Purdue,1,2,78,Grambling St.,16,64,50,Purdue
2024,64,Iowa St.,2,16,82,South Dakota St.,15,64,65,Iowa St.
2024,64,Arizona,2,16,85,Long Beach St.,15,64,65,Arizona
2024,64,Marquette,2,16,87,Western Kentucky,15,64,69,Marquette
2024,64,Tennessee,2,8,83,Saint Peter's,15,64,49,Tennessee
2024,64,Illinois,3,8,85,Morehead St.,14,64,69,Illinois
2024,64,Baylor,3,32,92,Colgate,14,64,67,Baylor
2024,64,Kentucky,3,64,76,Oakland,14,32,80,Oakland
2024,64,Creighton,3,16,77,Akron,14,64,60,Creighton
2024,64,Auburn,4,64,76,Yale,13,32,78,Yale
2024,64,Alabama,4,4,109,College of Charleston,13,64,96,Alabama
2024,64,Duke,4,8,64,Vermont,13,64,47,Duke
2024,64,Kansas,4,32,93,Samford,13,64,89,Kansas
2024,64,San Diego St.,5,16,69,UAB,12,64,65,San Diego St.
2024,64,Saint Mary's,5,64,66,Grand Canyon,12,32,75,Grand Canyon
2024,64,Wisconsin,5,64,61,James Madison,12,32,72,James Madison
2024,64,Gonzaga,5,16,86,McNeese St.,12,64,65,Gonzaga
2024,64,BYU,6,64,67,Duquesne,11,32,71,Duquesne
2024,64,Clemson,6,8,77,New Mexico,11,64,56,Clemson
2024,64,Texas Tech,6,64,67,North Carolina St.,11,4,80,North Carolina St.
2024,64,South Carolina,6,64,73,Oregon,11,32,87,Oregon
2024,64,Washington St.,7,32,66,Drake,10,64,61,Washington St.
2024,64,Dayton,7,32,63,Nevada,10,64,60,Dayton
2024,64,Florida,7,64,100,Colorado,10,32,102,Colorado
2024,64,Texas,7,32,56,Colorado St.,10,64,44,Texas
2024,64,Florida Atlantic,8,64,65,Northwestern,9,32,77,Northwestern
2024,64,Mississippi St.,8,64,51,Michigan St.,9,32,69,Michigan St.
2024,64,Nebraska,8,64,83,Texas A&M,9,32,98,Texas A&M
2024,64,Utah St.,8,32,88,TCU,9,64,72,Utah St.
2024,32,Connecticut,1,1,75,Northwestern,9,32,58,Connecticut
2024,32,North Carolina,1,16,85,Mississippi St.,8,32,69,North Carolina
2024,32,Houston,1,16,100,Texas A&M,9,32,95,Houston
2024,32,Purdue,1,2,106,Utah St.,8,32,67,Purdue
2024,32,Iowa St.,2,16,67,Washington St.,7,32,56,Iowa St.
2024,32,Arizona,2,16,78,Dayton,7,32,68,Arizona
2024,32,Marquette,2,16,81,Colorado,10,32,77,Marquette
2024,32,Tennessee,2,8,62,Texas,7,32,58,Tennessee
2024,32,Illinois,3,8,89,Duquesne,11,32,63,Illinois
2024,32,Baylor,3,32,64,Clemson,6,8,72,Clemson
2024,32,North Carolina St.,11,4,79,Oakland,14,32,73,North Carolina St.
2024,32,Creighton,3,16,86,Oregon,6,32,73,Creighton
2024,32,Yale,13,32,57,San Diego St.,5,16,85,San Diego St.
2024,32,Alabama,4,4,72,Grand Canyon,12,32,61,Alabama
2024,32,Duke,4,8,93,James Madison,12,32,55,Duke
2024,32,Kansas,4,32,68,Gonzaga,5,16,89,Gonzaga
2024,16,Connecticut,1,1,82,San Diego St.,5,16,52,Connecticut
2024,16,North Carolina,1,16,87,Alabama,4,4,89,Alabama
2024,16,Houston,1,16,51,Duke,4,8,54,Duke
2024,16,Purdue,1,2,80,Gonzaga,5,16,68,Purdue
2024,16,Illinois,3,8,72,Iowa St.,2,16,69,Illinois
2024,16,Clemson,6,8,77,Arizona,2,16,72,Clemson
2024,16,North Carolina St.,11,4,67,Marquette,2,16,58,North Carolina St.
2024,16,Creighton,3,16,75,Tennessee,2,8,82,Tennessee
2024,8,Connecticut,1,1,77,Illinois,3,8,52,Connecticut
2024,8,Alabama,4,4,89,Clemson,6,8,82,Alabama
2024,8,Duke,4,8,64,North Carolina St.,11,4,76,North Carolina St.
2024,8,Purdue,1,2,72,Tennessee,2,8,66,Purdue
2024,4,Connecticut,1,1,86,Alabama,4,4,72,Connecticut
2024,4,North Carolina St.,11,4,50,Purdue,1,2,63,Purdue
2024,2,Connecticut,1,1,75,Purdue,1,2,60,Connecticut
2023,64,Alabama,1,16,96,Texas A&M Corpus Chris,16,64,75,Alabama
2023,64,Maryland,8,32,67,West Virginia,9,64,65,Maryland
2023,64,San Diego St.,5,2,63,College of Charleston,12,64,57,San Diego St.
2023,64,Virginia,4,64,67,Furman,13,32,68,Furman
2023,64,Creighton,6,8,72,North Carolina St.,11,64,63,Creighton
2023,64,Baylor,3,32,74,UC Santa Barbara,14,64,56,Baylor
2023,64,Missouri,7,32,76,Utah St.,10,64,65,Missouri
2023,64,Arizona,2,64,55,Princeton,15,16,59,Princeton
2023,64,Purdue,1,64,58,Fairleigh Dickinson,16,32,63,Fairleigh Dickinson
2023,64,Memphis,8,64,65,Florida Atlantic,9,4,66,Florida Atlantic
2023,64,Duke,5,32,74,Oral Roberts,12,64,51,Duke
2023,64,Tennessee,4,16,58,Louisiana Lafayette,13,64,55,Tennessee
2023,64,Kentucky,6,32,61,Providence,11,64,53,Kentucky
2023,64,Kansas St.,3,8,77,Montana St.,14,64,65,Kansas St.
2023,64,Michigan St.,7,16,72,USC,10,64,62,Michigan St.
2023,64,Marquette,2,32,78,Vermont,15,64,61,Marquette
2023,64,Houston,1,16,63,Northern Kentucky,16,64,52,Houston
2023,64,Iowa,8,64,75,Auburn,9,32,83,Auburn
2023,64,Miami FL,5,4,63,Drake,12,64,56,Miami FL
2023,64,Indiana,4,32,71,Kent St.,13,64,60,Indiana
