YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2024,Connecticut,1,1,64,91
2024,Stetson,16,64,64,52
2024,North Carolina,1,16,64,90
2024,Wagner,16,64,64,62
2024,Houston,1,16,64,86
2024,Longwood,16,64,64,46
2024,Purdue,1,2,64,78
2024,Grambling St.,16,64,64,50
2024,Iowa St.,2,16,64,82
2024,South Dakota St.,15,64,64,65
2024,Arizona,2,16,64,85
2024,Long Beach St.,15,64,64,65
2024,Marquette,2,16,64,87
2024,Western Kentucky,15,64,64,69
2024,Tennessee,2,8,64,83
2024,Saint Peter's,15,64,64,49
2024,Illinois,3,8,64,85
2024,Morehead St.,14,64,64,69
2024,Baylor,3,32,64,92
2024,Colgate,14,64,64,67
2024,Kentucky,3,64,64,76
2024,Oakland,14,32,64,80
2024,Creighton,3,16,64,77
2024,Akron,14,64,64,60
2024,Auburn,4,64,64,76
2024,Yale,13,32,64,78
2024,Alabama,4,4,64,109
2024,College of Charleston,13,64,64,96
2024,Duke,4,8,64,64
2024,Vermont,13,64,64,47
2024,Kansas,4,32,64,93
2024,Samford,13,64,64,89
2024,San Diego St.,5,16,64,69
2024,UAB,12,64,64,65
2024,Saint Mary's,5,64,64,66
2024,Grand Canyon,12,32,64,75
2024,Wisconsin,5,64,64,61
2024,James Madison,12,32,64,72
2024,Gonzaga,5,16,64,86
2024,McNeese St.,12,64,64,65
2024,BYU,6,64,64,67
2024,Duquesne,11,32,64,71
2024,Clemson,6,8,64,77
2024,New Mexico,11,64,64,56
2024,Texas Tech,6,64,64,67
2024,North Carolina St.,11,4,64,80
2024,South Carolina,6,64,64,73
2024,Oregon,11,32,64,87
2024,Washington St.,7,32,64,66
2024,Drake,10,64,64,61
2024,Dayton,7,32,64,63
2024,Nevada,10,64,64,60
2024,Florida,7,64,64,100
2024,Colorado,10,32,64,102
2024,Texas,7,32,64,56
2024,Colorado St.,10,64,64,44
2024,Florida Atlantic,8,64,64,65
2024,Northwestern,9,32,64,77
2024,Mississippi St.,8,64,64,51
2024,Michigan St.,9,32,64,69
2024,Nebraska,8,64,64,83
2024,Texas A&M,9,32,64,98
2024,Utah St.,8,32,64,88
2024,TCU,9,64,64,72
2024,Connecticut,1,1,32,75
2024,Northwestern,9,32,32,58
2024,North Carolina,1,16,32,85
2024,Mississippi St.,8,32,32,69
2024,Houston,1,16,32,100
2024,Texas A&M,9,32,32,95
2024,Purdue,1,2,32,106
2024,Utah St.,8,32,32,67
2024,Iowa St.,2,16,32,67
2024,Washington St.,7,32,32,56
2024,Arizona,2,16,32,78
2024,Dayton,7,32,32,68
2024,Marquette,2,16,32,81
2024,Colorado,10,32,32,77
2024,Tennessee,2,8,32,62
2024,Texas,7,32,32,58
2024,Illinois,3,8,32,89
2024,Duquesne,11,32,32,63
2024,Baylor,3,32,32,64
2024,Clemson,6,8,32,72
2024,North Carolina St.,11,4,32,79
2024,Oakland,14,32,32,73
2024,Creighton,3,16,32,86
2024,Oregon,6,32,32,73
2024,Yale,13,32,32,57
2024,San Diego St.,5,16,32,85
2024,Alabama,4,4,32,72
2024,Grand Canyon,12,32,32,61
2024,Duke,4,8,32,93
2024,James Madison,12,32,32,55
2024,Kansas,4,32,32,68
2024,Gonzaga,5,16,32,89
2024,Connecticut,1,1,16,82
